date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:36	23684/23684	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Nov%202021%2011:00:15%20GMT	https://marketifythemes.net/html/arlo/index-creative-4.html	C:/Users/Ejike%20Chuks/Desktop/personal/marketifythemes.net/html/arlo/index-creative-4.html	(from )
23:47:37	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
23:47:38	146014/146014	---MCZ	200	added ('OK')	text/css	etag:W/%222c617-61866041-5d3ed7a941d1a017;gz%22	https://marketifythemes.net/html/arlo/css/plugins.css	C:/Users/Ejike%20Chuks/Desktop/personal/marketifythemes.net/html/arlo/css/plugins.css	(from https://marketifythemes.net/html/arlo/index-creative-4.html)
23:47:38	23689/23689	---MCZ	200	added ('OK')	text/css	etag:W/%2262c6-61866041-78dcfe4b5ea28282;gz%22	https://marketifythemes.net/html/arlo/css/colors.css	C:/Users/Ejike%20Chuks/Desktop/personal/marketifythemes.net/html/arlo/css/colors.css	(from https://marketifythemes.net/html/arlo/index-creative-4.html)
23:47:39	1814/1814	---MCZ	200	added ('OK')	text/css	etag:W/%227cb-61866041-1bbbcf94b27ccdb9;gz%22	https://marketifythemes.net/html/arlo/css/darkMode.css	C:/Users/Ejike%20Chuks/Desktop/personal/marketifythemes.net/html/arlo/css/darkMode.css	(from https://marketifythemes.net/html/arlo/index-creative-4.html)
23:47:39	40888/40888	---MCZ	200	added ('OK')	text/css	etag:W/%22d5e4-61a866b9-3af00774a493df51;gz%22	https://marketifythemes.net/html/arlo/css/style.css	C:/Users/Ejike%20Chuks/Desktop/personal/marketifythemes.net/html/arlo/css/style.css	(from https://marketifythemes.net/html/arlo/index-creative-4.html)
23:47:41	2494/2494	---M-Z	200	added ('OK')	image/svg+xml	etag:%229be-61866047-f1e0e87f4d23de8;gz%22	https://marketifythemes.net/html/arlo/img/svg/setting.svg	C:/Users/Ejike%20Chuks/Desktop/personal/marketifythemes.net/html/arlo/img/svg/setting.svg	(from https://marketifythemes.net/html/arlo/index-creative-4.html)
23:47:41	646/646	---M-Z	200	added ('OK')	image/svg+xml	etag:%22286-61866046-c0439d63c04f586c;gz%22	https://marketifythemes.net/html/arlo/img/svg/arrow.svg	C:/Users/Ejike%20Chuks/Desktop/personal/marketifythemes.net/html/arlo/img/svg/arrow.svg	(from https://marketifythemes.net/html/arlo/index-creative-4.html)
23:47:42	1615/1615	---M-Z	200	added ('OK')	image/svg+xml	etag:%2264f-61866047-5dc47c71301435c2;gz%22	https://marketifythemes.net/html/arlo/img/svg/cancel.svg	C:/Users/Ejike%20Chuks/Desktop/personal/marketifythemes.net/html/arlo/img/svg/cancel.svg	(from https://marketifythemes.net/html/arlo/index-creative-4.html)
23:47:43	1979/1979	---M--	200	added ('OK')	image/png	etag:%227bb-61866048-2da665ff48171585;;;%22	https://marketifythemes.net/html/arlo/img/logo/mobile/dark.png	C:/Users/Ejike%20Chuks/Desktop/personal/marketifythemes.net/html/arlo/img/logo/mobile/dark.png	(from https://marketifythemes.net/html/arlo/index-creative-4.html)
23:47:43	2111/2111	---M--	200	added ('OK')	image/png	etag:%2283f-61866048-1c6f00ce6b087a8b;;;%22	https://marketifythemes.net/html/arlo/img/logo/classic/light.png	C:/Users/Ejike%20Chuks/Desktop/personal/marketifythemes.net/html/arlo/img/logo/classic/light.png	(from https://marketifythemes.net/html/arlo/index-creative-4.html)
